Thu Apr 28 19:56:11 2022    stats.txt

         19705377 function calls (19694216 primitive calls) in 11.170 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       26    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/re.py:188(match)
        1    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/site-packages/nltk/corpus/reader/api.py:41(__init__)
        1    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/site-packages/nltk/corpus/reader/util.py:798(find_corpus_fileids)
        1    0.000    0.000    0.000    0.000 /Users/shania/cs200/search/search-rmao8-zguo47/file_io.py:22(write_docs_file)
      107    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/codecs.py:967(getdecoder)
      107    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/copy.py:200(_deepcopy_list)
      801    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/site-packages/nltk/stem/porter.py:376(<lambda>)
      109    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
     32/7    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/sre_compile.py:71(_compile)
      107    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
      108    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/posixpath.py:60(isabs)
      107    0.000    0.000    0.000    0.000 {built-in method _codecs.lookup}
      321    0.000    0.000    0.000    0.000 {method 'find' of 'xml.etree.ElementTree.Element' objects}
        1    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/site-packages/nltk/data.py:202(normalize_resource_name)
        1    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/site-packages/nltk/corpus/reader/util.py:820(<listcomp>)
